date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:32:14	8942/8942	---M--	200	added ('OK')	application/javascript	etag:%225d10c2a3-22ee%22	https://mannatthemes.com/metrica/dark-rtl/assets/pages/jquery.sweet-alert.init.js	C:/My%20Web%20Sites/ddk4/mannatthemes.com/metrica/dark-rtl/assets/pages/jquery.sweet-alert.init.js	(from https://mannatthemes.com/metrica/dark-rtl/others/advanced-sweetalerts.html)
16:32:14	27093/27093	---M--	200	added ('OK')	text/css	etag:%225d10c2a3-69d5%22	https://mannatthemes.com/metrica/dark-rtl/assets/plugins/sweet-alert2/sweetalert2.min.css	C:/My%20Web%20Sites/ddk4/mannatthemes.com/metrica/dark-rtl/assets/plugins/sweet-alert2/sweetalert2.min.css	(from https://mannatthemes.com/metrica/dark-rtl/others/advanced-sweetalerts.html)
16:32:14	1675/1675	---M--	200	added ('OK')	text/css	etag:%225d10c2a3-68b%22	https://mannatthemes.com/metrica/dark-rtl/assets/plugins/nestable/jquery.nestable.min.css	C:/My%20Web%20Sites/ddk4/mannatthemes.com/metrica/dark-rtl/assets/plugins/nestable/jquery.nestable.min.css	(from https://mannatthemes.com/metrica/dark-rtl/others/advanced-nestable.html)
16:32:15	16117/16117	---M--	200	added ('OK')	application/javascript	etag:%225d10c2a3-3ef5%22	https://mannatthemes.com/metrica/dark-rtl/assets/plugins/nestable/jquery.nestable.min.js	C:/My%20Web%20Sites/ddk4/mannatthemes.com/metrica/dark-rtl/assets/plugins/nestable/jquery.nestable.min.js	(from https://mannatthemes.com/metrica/dark-rtl/others/advanced-nestable.html)
16:32:15	930/930	---M--	200	added ('OK')	application/javascript	etag:%225d10c2a3-3a2%22	https://mannatthemes.com/metrica/dark-rtl/assets/pages/jquery.nastable.init.js	C:/My%20Web%20Sites/ddk4/mannatthemes.com/metrica/dark-rtl/assets/pages/jquery.nastable.init.js	(from https://mannatthemes.com/metrica/dark-rtl/others/advanced-nestable.html)
16:32:15	297/297	---M--	200	added ('OK')	text/css	etag:%225d10c2a3-129%22	https://mannatthemes.com/metrica/dark-rtl/assets/plugins/rating/themes/rating.css	C:/My%20Web%20Sites/ddk4/mannatthemes.com/metrica/dark-rtl/assets/plugins/rating/themes/rating.css	(from https://mannatthemes.com/metrica/dark-rtl/others/advanced-ratings.html)
16:32:16	5826/5826	---M--	200	added ('OK')	application/javascript	etag:%225d10c2a3-16c2%22	https://mannatthemes.com/metrica/dark-rtl/assets/plugins/rating/jquery.barrating.min.js	C:/My%20Web%20Sites/ddk4/mannatthemes.com/metrica/dark-rtl/assets/plugins/rating/jquery.barrating.min.js	(from https://mannatthemes.com/metrica/dark-rtl/others/advanced-ratings.html)
16:32:16	1933/1933	---M--	200	added ('OK')	application/javascript	etag:%225d10c2a3-78d%22	https://mannatthemes.com/metrica/dark-rtl/assets/pages/jquery.rating.init.js	C:/My%20Web%20Sites/ddk4/mannatthemes.com/metrica/dark-rtl/assets/pages/jquery.rating.init.js	(from https://mannatthemes.com/metrica/dark-rtl/others/advanced-ratings.html)
16:32:16	1791/1791	---M--	200	added ('OK')	text/css	etag:%225d10c2a3-6ff%22	https://mannatthemes.com/metrica/dark-rtl/assets/plugins/prism/prism-okaidia.css	C:/My%20Web%20Sites/ddk4/mannatthemes.com/metrica/dark-rtl/assets/plugins/prism/prism-okaidia.css	(from https://mannatthemes.com/metrica/dark-rtl/others/advanced-highlight.html)
16:32:17	24510/24510	---M--	200	added ('OK')	application/javascript	etag:%225d10c2a3-5fbe%22	https://mannatthemes.com/metrica/dark-rtl/assets/plugins/prism/prism.js	C:/My%20Web%20Sites/ddk4/mannatthemes.com/metrica/dark-rtl/assets/plugins/prism/prism.js	(from https://mannatthemes.com/metrica/dark-rtl/others/advanced-highlight.html)
